Red & Yellow - Roskilde, Industrivej 26, 4000 https://www.just-eat.dk/menu/red-yellow-roskilde#info, 
Rajissimo - Nygade, Nygade 6, 1164 https://www.just-eat.dk/menu/rajissimo-nygade#info, 
